manager,week,matchup_id,points,win,max_points,could_win,perfect_efficiency
mbf1808,1,1,100.45,1,106.75,1,0
Scythe911,1,1,98.65,0,114.55,1,0
bbposki,1,2,126.88,1,156.43,1,0
robmitch28,1,2,110.06,0,142.46,1,0
JerNu,1,3,107.9,1,128.45,1,0
JMDickson,1,3,87.08,0,104.34,0,0
ettubry,1,4,131.32,1,141.92,1,0
vekin8791,1,4,125.77,0,128.87,0,0
kellieally,1,5,116.47,0,121.9,0,0
TheChamp5796,1,5,133.02,1,141.92,1,0
robmitch28,2,1,120.71,1,128.11,1,0
Scythe911,2,1,114.4,0,119.5,0,0
bbposki,2,2,140.88,1,160.88,1,0
mbf1808,2,2,118.81,0,132.61,0,0
JerNu,2,3,111.83,1,125.43,1,0
vekin8791,2,3,90.42,0,11.42,1,0
JMDickson,2,4,119.75,0,121.15,0,0
kellieally,2,4,163.07,1,177.17,1,0
ettubry,2,5,109.01,1,116.11,1,0
TheChamp5796,2,5,104.48,0,110.38,0,0
bbposki,3,1,108.7,1,119.4,1,0
Scythe911,3,1,92.98,0,119.48,1,0
mbf1808,3,2,108.33,0,129.13,1,0
robmitch28,3,2,114.84,1,123.98,1,0
ettubry,3,3,87,0,115.5,0,0
JerNu,3,3,119.36,1,132.46,1,0
JMDickson,3,4,106.19,1,121.11,1,0
TheChamp5796,3,4,65.91,0,83.07,0,0
kellieally,3,5,135.32,1,195.32,1,0
vekin8791,3,5,89,0,116.7,0,0
JerNu,4,1,101.96,0,163.6,1,0
Scythe911,4,1,130.86,1,137.36,1,0
JMDickson,4,2,124.4,0,150,1,0
mbf1808,4,2,128.53,1,135.23,1,0
robmitch28,4,3,92.9,1,123.4,1,0
vekin8791,4,3,72.26,0,118.66,1,0
bbposki,4,4,125.42,1,145.82,1,0
TheChamp5796,4,4,101.38,0,113.98,0,0
ettubry,4,5,95.8,0,133.7,1,0
kellieally,4,5,130.06,1,130.06,1,1
JMDickson,5,1,134.49,0,151.99,1,0
Scythe911,5,1,142.08,1,153.38,1,0
JerNu,5,2,125.07,1,139.87,1,0
mbf1808,5,2,120.61,0,128.91,1,0
ettubry,5,3,89.48,0,91.78,0,0
robmitch28,5,3,112.92,1,114.62,1,0
bbposki,5,4,136.86,1,142.66,1,0
kellieally,5,4,126.93,0,173.51,1,0
TheChamp5796,5,5,114.7,0,136.14,1,0
vekin8791,5,5,117.46,1,117.46,1,1
Scythe911,6,1,87.47,0,113.67,1,0
vekin8791,6,1,104.5,1,121.75,1,0
ettubry,6,2,93.6,0,118.1,1,0
mbf1808,6,2,110.69,1,114.49,1,0
kellieally,6,3,106.1,1,116.1,1,0
robmitch28,6,3,99.72,0,114.32,0,0
bbposki,6,4,132.96,1,136.96,1,0
JMDickson,6,4,86.92,0,108.82,0,0
JerNu,6,5,87.48,1,94.08,1,0
TheChamp5796,6,5,73.53,0,78.63,0,0
ettubry,7,1,116.84,0,130.94,0,0
Scythe911,7,1,145.92,1,170.32,1,0
kellieally,7,2,99.15,1,116.25,1,0
mbf1808,7,2,86.97,0,86.97,0,1
robmitch28,7,3,110.12,1,116.02,1,0
TheChamp5796,7,3,89.56,0,95.76,0,0
bbposki,7,4,88.66,0,94.96,0,0
JerNu,7,4,139.65,1,144.25,1,0
JMDickson,7,5,87,0,98.4,0,0
vekin8791,7,5,99.41,1,104.11,1,0
kellieally,8,1,129.87,0,146.43,1,0
Scythe911,8,1,134.98,1,139.38,1,0
mbf1808,8,2,73.75,0,92.15,0,0
TheChamp5796,8,2,95.34,1,101.14,1,0
JerNu,8,3,107.72,0,138.08,1,0
robmitch28,8,3,111.05,1,120.15,1,0
bbposki,8,4,166.48,0,175.98,1,0
vekin8791,8,4,167.3,1,170.6,1,0
ettubry,8,5,127.68,0,130.58,0,0
JMDickson,8,5,151.7,1,151.7,1,1
Scythe911,9,1,123.69,1,137.99,1,0
TheChamp5796,9,1,93.1,0,93.1,0,1
mbf1808,9,2,140.77,0,150.87,0,0
vekin8791,9,2,180.72,1,180.72,1,1
JMDickson,9,3,116.13,1,120.45,1,0
robmitch28,9,3,86.45,0,93.85,0,0
bbposki,9,4,121.8,1,121.8,1,1
ettubry,9,4,65.14,0,70.94,0,0
JerNu,9,5,99.62,1,122,1,0
kellieally,9,5,81.27,0,108.97,1,0
mbf1808,10,1,140.63,1,144.83,1,0
Scythe911,10,1,107.34,0,136.34,0,0
bbposki,10,2,114.25,1,120.45,1,0
robmitch28,10,2,73.94,0,109.44,0,0
JerNu,10,3,122.55,1,140.05,1,0
JMDickson,10,3,104.92,0,118.46,0,0
ettubry,10,4,96.68,1,105.48,1,0
vekin8791,10,4,68.85,0,80.75,0,0
kellieally,10,5,137.66,1,154.76,1,0
TheChamp5796,10,5,125.3,0,128.6,0,0
robmitch28,11,1,76.15,0,104.45,0,0
Scythe911,11,1,114.11,1,114.81,1,0
bbposki,11,2,106.83,0,108.03,0,0
mbf1808,11,2,118.47,1,147.87,1,0
JerNu,11,3,103.04,1,109.44,1,0
vekin8791,11,3,92.75,0,97.35,0,0
JMDickson,11,4,103.59,0,111.19,0,0
kellieally,11,4,118.96,1,138.56,1,0
ettubry,11,5,105.4,0,133.6,0,0
TheChamp5796,11,5,147.19,1,147.29,1,0
